epoch,train_loss,val_loss,val_accuracy
1,47.68207937479019,11.573633432388306,0.6719532554257095
2,46.34262442588806,11.550405859947205,0.6844741235392321
3,46.00853377580643,11.517721235752106,0.674457429048414
4,45.07952803373337,11.346778690814972,0.6911519198664441
5,45.23386883735657,11.209972321987152,0.6828046744574291
6,44.82392552495003,11.295447707176208,0.6803005008347245
7,44.84234565496445,11.368072926998138,0.6894824707846411
8,44.74585810303688,11.376912117004395,0.6911519198664441
9,44.496820747852325,11.243981420993805,0.6886477462437396
10,44.36615973711014,11.343945980072021,0.679465776293823
